question,ground_truth,expected_chunk_id,url,source_title,error,answer,retrieved_chunk_ids,num_contexts,hit,recall_at_k,faithfulness,answer_relevancy,context_precision,context_recall
"What is the refund method for amounts between R300 and R3,000?","For refunds between R300 and R3,000, the VRA will issue the qualifying purchaser with a pre-paid debit card which can be used worldwide.",vat_404_guide_chunk_327,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, for refunds between R300 and R3,000, the VRA will issue the qualifying purchaser with a **pre-paid debit card which can be used worldwide**.

However, there is an important exception: qualifying purchasers from Botswana, Namibia, and Swaziland (eSwatini) are **not** issued with this pre-paid debit card. Instead, the refund will be **transferred via EFT to the qualifying purchaser's designated bank account**.","[""doc_5_chunk_188"", ""doc_5_chunk_187"", ""doc_5_chunk_186"", ""doc_5_chunk_197"", ""doc_5_chunk_26""]",5,False,0.0,,,,
Can you deduct VAT on goods acquired for private use if you are registered for VAT?,"No. If you are registered for VAT because you make both taxable and non-taxable supplies, you may not deduct any VAT charged on goods or services acquired for private use or other non-taxable purposes.",vat_404_guide_chunk_2,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"No, you cannot deduct VAT on goods acquired for private use if you are registered for VAT.

According to the context, ""No VAT may be deducted when goods or services are acquired for private purposes, exempt supplies or other non-taxable purposes.""

To qualify as input tax, one of the three requirements that must be met is that ""The goods or services supplied must be acquired by the vendor wholly or partly for consumption, use or supply in the course of making taxable supplies.""","[""doc_5_chunk_114"", ""doc_5_chunk_113"", ""doc_5_chunk_125"", ""doc_5_chunk_94"", ""doc_5_chunk_147""]",5,False,0.0,,,,
On what types of supplies can a registered person charge VAT?,A registered person can only charge VAT on taxable supplies. They may not charge VAT on supplies which are exempt from VAT or supplies which fall outside the scope of VAT (supplies which are not in the course or furtherance of an 'enterprise').,vat_404_guide_chunk_73,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"Based on the provided context, a registered person can charge VAT on the following types of supplies:

1. **Taxable supplies** - which include:
   - **Standard-rated supplies** (currently 15%) - these are the default rate for most goods and services unless specifically exempted or zero-rated
   - **Zero-rated supplies** - specific supplies listed under section 11 of the VAT Act (though the context does not provide detailed examples of zero-rated supplies)

2. **Deemed supplies** - transactions where VAT must be accounted for even though no actual supply occurred, including:
   - Trading stock taken out for private use
   - Certain fringe benefits provided to staff
   - Assets retained upon ceasing to carry on an enterprise
   - Short-term insurance claims paid in connection with the enterprise
   - Betting and gambling transactions
   - Change in use adjustments

**Important exception:** A registered person **cannot** charge VAT on **exempt supplies** (such as financial services, residential accommodation lettings, passenger transport, educational services, and childcare services). No output tax is levied on exempt supplies, and input tax cannot be deducted on expenses related to making exempt supplies.","[""doc_5_chunk_107"", ""doc_5_chunk_93"", ""doc_5_chunk_255"", ""doc_5_chunk_253"", ""doc_5_chunk_94""]",5,False,0.0,,,,
What amendment was made to the definition of 'enterprise' regarding cross-border leases of foreign-owned parts?,"The scope of proviso (xiii) to the definition of 'enterprise' was extended to include the leasing of foreign-owned parts relating to foreign-owned ships, aircraft or rolling stock if those parts are leased under a separate agreement. This clarifies that a non-resident lessor is not regarded as carrying on an enterprise in the Republic when such leasing occurs, subject to certain conditions being met.",vat_404_guide_chunk_5,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"# Amendment to Definition of 'Enterprise' - Foreign-Owned Parts

According to the context, from **1 April 2023**, proviso (xiii) to the definition of ""enterprise"" was amended to include the leasing of foreign-owned parts relating to foreign-owned ships, aircraft, or rolling stock.

Specifically, the amendment clarifies that:

- The supply by a non-resident of the right to use foreign-owned **parts** of ships, aircraft, and rolling stock will no longer be regarded as an ""enterprise"" conducted in the Republic
- This applies when those parts are **leased under a separate agreement**

This exclusion applies provided that:
- The lessee is a resident of the Republic
- The lessor is a non-resident and not a registered vendor
- The goods are for use wholly or partly in the Republic
- The parties agree in writing that the recipient will enter the goods for home consumption, pay VAT on importation, and not be reimbursed by the lessor for such VAT","[""doc_5_chunk_37"", ""doc_5_chunk_36"", ""doc_5_chunk_41"", ""doc_5_chunk_6"", ""doc_5_chunk_5""]",5,False,0.0,,,,
What output tax must the supermarket declare per box of paper sold to its customers?,"The supermarket must declare output tax of R1,50 on each box of paper sold to its customers at R11,50 each (inclusive of R1,50 VAT).",vat_404_guide_chunk_44,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to Example 1 in the context, the supermarket must declare output tax of **R1.50 per box of paper sold** to its customers.

This is calculated as follows: The supermarket sells each box to its customers for R11.50 (inclusive of VAT). The VAT component is R1.50 per box, which represents the output tax that must be declared.","[""doc_5_chunk_27"", ""doc_5_chunk_93"", ""doc_5_chunk_180"", ""doc_5_chunk_96"", ""doc_5_chunk_204""]",5,False,0.0,,,,
What happens if a diesel refund is found to be incorrectly deducted?,"Any diesel refund which is found to be incorrectly deducted and paid would have to be paid back to SARS, together with any interest and any other amount that may be levied as a result of that non-compliance.",vat_404_guide_chunk_100,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, if a diesel refund is found to be incorrectly deducted and paid, the following must occur:

1. The refund amount must be paid back to SARS
2. Interest must be paid
3. Any other amount that may be levied as a result of that non-compliance must be paid

The context emphasizes the importance of ensuring you actually qualify for the Diesel Refund Scheme before registering and that eligible diesel purchases were genuinely used for qualifying purposes before claiming a diesel refund on your VAT return.","[""doc_5_chunk_60"", ""doc_5_chunk_59"", ""doc_5_chunk_58"", ""doc_5_chunk_164"", ""doc_9_chunk_22""]",5,False,0.0,,,,
How is the value component (A) in the adjustment formula determined?,Component A represents the lesser of either the adjusted cost of the capital goods or the OMV (Open Market Value) of the capital goods.,vat_404_guide_chunk_267,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"# Determination of Value Component (A) in the Adjustment Formula

Based on the provided context, the value component (A) in the adjustment formula is determined as **the lesser of**:

1. **The adjusted cost** of the goods or services; or
2. **The Open Market Value (OMV)** of the goods or services

As stated in the context:

> ""A represents the lesser of:
> (i) the adjusted cost of the building and computer system, namely, R1 368 000 and R54 000, respectively; or
> (ii) the OMV of the building and computer system, namely, R2 280 000 and R48 000, respectively""

The **adjusted cost** excludes any costs incurred in acquiring the assets which are not VAT inclusive, such as finance charges (exempt) or labour charges by a non-vendor.","[""doc_5_chunk_146"", ""doc_5_chunk_145"", ""doc_5_chunk_129"", ""doc_5_chunk_156"", ""doc_5_chunk_154""]",5,False,0.0,,,,
What are the three approved categories of fixed cut-off dates under the 10-day rule?,"The three approved categories of fixed cut-off dates subject to the 10-day rule are: a specific day of the week, a specific date of a calendar month, and a fixed day determined in accordance and consistent with the vendor's commercial accounting periods.",vat_404_guide_chunk_110,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context, SARS has approved the following three categories of fixed cut-off dates subject to the 10-day rule:

1. A specific day of the week
2. A specific date of a calendar month
3. A fixed day determined in accordance and consistent with the vendor's commercial accounting periods","[""doc_5_chunk_66"", ""doc_5_chunk_67"", ""doc_8_chunk_8"", ""doc_3_chunk_8"", ""doc_1_chunk_8""]",5,False,0.0,,,,
What happens if an agent does not have the required documentation for gold supply?,"If the agent is not in possession of the required documentation, the agent will be liable to account for output tax at the standard rate on the supply of the gold.",vat_404_guide_chunk_17,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, if an agent is not in possession of the required documentation for a gold supply, **the agent will be liable to account for output tax at the standard rate on the supply of the gold**.

This provision applies when an agent (being a vendor) supplies or exports gold on behalf of a principal (being a vendor) under section 54(2C). The agent is permitted to retain the required documentation instead of the principal, but failure to possess this documentation results in the agent having to account for VAT at the standard rate rather than being able to claim the zero-rating for exports.","[""doc_5_chunk_15"", ""doc_5_chunk_14"", ""doc_5_chunk_79"", ""doc_5_chunk_16"", ""doc_5_chunk_78""]",5,False,0.0,,,,
Where must the increase or decrease in the value of the supply of valuable metal as a result of a debit- or credit note event be reported?,"The increase or decrease in the value of the supply of valuable metal as a result of a debit- or credit note event must be reported in Field 3 of the VAT201 return, with the normal time of supply rules under the VAT Act applying.",vat_404_guide_chunk_385,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, the increase or decrease in the value of the supply of valuable metal as a result of a debit- or credit note event must be reported in **Field 3 of the VAT201 return**.

The context also notes that the normal time of supply rules under the VAT Act apply in this regard.","[""doc_5_chunk_216"", ""doc_5_chunk_218"", ""doc_5_chunk_15"", ""doc_5_chunk_14"", ""doc_5_chunk_89""]",5,False,0.0,,,,
Who is considered a vendor for VAT purposes?,"A vendor includes any person who is registered or is required to be registered for VAT. However, where the Commissioner has determined the date from which a person is a vendor, a person shall be a vendor from that date.",vat_404_guide_chunk_471,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 50,000 input tokens per minute (org: 9bd0a5f7-22cf-410d-b889-d0a0c1c1e0d9, model: claude-haiku-4-5-20251001). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CbHwMo9YPwK3LQFnwP1fh'}",,,0,,,,,,
What is the limitation on deductions if the deduction was not previously permitted in accordance with a practice generally prevailing?,"If the deduction was not previously permitted in accordance with a practice generally prevailing, the deduction is limited to six months before the tax period in which the deduction is made.",vat_404_guide_chunk_213,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"The context provided does not contain specific information about the limitation on deductions if the deduction was not previously permitted in accordance with a practice generally prevailing.

While the context discusses the concept of ""practice generally prevailing"" and explains that assessments are viewed in accordance with the practice generally prevailing at the time of assessment, it does not specifically address how this principle applies to limit deductions that were not previously permitted under such practices.

To answer your question accurately, I would need additional context that specifically addresses this scenario.","[""doc_5_chunk_215"", ""doc_5_chunk_214"", ""doc_5_chunk_163"", ""doc_5_chunk_162"", ""doc_5_chunk_248""]",5,False,0.0,,,,
What types of proof can be provided to demonstrate that payment has already exceeded or will exceed R50 000 within a 12-month period after the date of application?,Proof of expenditure incurred or to be incurred or capital goods acquired in connection with the enterprise and proof of payment or an extended payment agreement can be provided as evidence.,vat_404_guide_chunk_79,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"The context provided does not contain information about what types of proof can be provided to demonstrate that payment has already exceeded or will exceed R50,000 within a 12-month period after the date of application.

To answer this question accurately, I would need additional context or documentation that specifically addresses this requirement.","[""doc_6_chunk_93"", ""doc_6_chunk_17"", ""doc_6_chunk_16"", ""doc_8_chunk_9"", ""doc_3_chunk_9""]",5,False,0.0,,,,
What happens if cash relating to a transaction is stolen or misappropriated? Can a vendor issue a credit note and deduct input tax?,"No. If cash relating to a transaction has been stolen or misappropriated, this does not entitle the vendor to issue a credit note and deduct input tax thereon. The VAT Act does not provide for a deduction or adjustment in such cases.",vat_404_guide_chunk_385,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 50,000 input tokens per minute (org: 9bd0a5f7-22cf-410d-b889-d0a0c1c1e0d9, model: claude-haiku-4-5-20251001). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CbHwMo9HgGxY2BxQFHJBc'}",,,0,,,,,,
What is the purpose of a sanitised template in the ruling application process?,"A sanitised template is a template to be completed and submitted by the applicant upon application for a ruling, to assist in streamlining the sanitisation and publication process.",vat_404_guide_chunk_421,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 50,000 input tokens per minute (org: 9bd0a5f7-22cf-410d-b889-d0a0c1c1e0d9, model: claude-haiku-4-5-20251001). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CbHwMoaLHqVZsFMaKRWmP'}",,,0,,,,,,
What should be done if the apportionment method will not yield a fair and reasonable result after changes?,"A ruling should be obtained to apply another method which results in a more fair and reasonable proportion of VAT being deducted as input tax in the year that the changes occur, and in any subsequent years.",vat_404_guide_chunk_223,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context, if it is clear from the outset that the apportionment method will not yield a fair and reasonable result after changes, **a ruling should be obtained to apply another method** which results in a more fair and reasonable proportion of VAT being deducted as input tax in the year that the changes occur, and in any subsequent years.

The context also notes that the apportionment percentage should not be excessive or extreme (resulting in either 0% or 100%), as this may indicate that either the formula is inappropriate or it is not being applied correctly.","[""doc_5_chunk_128"", ""doc_5_chunk_131"", ""doc_5_chunk_129"", ""doc_5_chunk_242"", ""doc_5_chunk_132""]",5,False,0.0,,,,
What is excluded from qualifying as the supply of commercial accommodation?,A dwelling supplied in terms of an agreement for the letting and hiring thereof is specifically excluded from qualifying as the supply of commercial accommodation.,vat_404_guide_chunk_62,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 50,000 input tokens per minute (org: 9bd0a5f7-22cf-410d-b889-d0a0c1c1e0d9, model: claude-haiku-4-5-20251001). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CbHwNEE9zCzRrtUQPmjYM'}",,,0,,,,,,
In which fields of the VAT201 return should input tax relating to local capital purchases and imported capital goods be deducted?,"Fields 14 and 14A of the VAT201 return are where input tax relating to local capital purchases and imported capital goods, respectively, will be deducted.",vat_404_guide_chunk_203,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"Based on the provided context, input tax relating to capital goods should be deducted in the following fields of the VAT201 return:

1. **Field 14** - Capital goods supplied to you (local purchases)
2. **Field 14A** - Capital goods imported by you

These two fields are components of **Field 19 - Total Input Tax**, which is calculated as the sum of Fields (14+14A+15+15A+16+17+18).","[""doc_9_chunk_17"", ""doc_4_chunk_17"", ""doc_2_chunk_17"", ""doc_9_chunk_18"", ""doc_4_chunk_18""]",5,False,0.0,,,,
What is the condition regarding input tax deduction for irrecoverable debts when a vendor accounts for tax on the payments basis?,"A vendor may not make an input tax deduction in respect of a debt which has become irrecoverable if the vendor accounts for tax on the payments basis, except to the extent that the vendor was required to account for output tax on the invoice basis (that is in the case of supplies made for a consideration of R100 000 or more) and a portion thereof has become irrecoverable.",vat_404_guide_chunk_249,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context, a vendor may **not** make an input tax deduction in respect of a debt which has become irrecoverable if the vendor accounts for tax on the payments basis, **except to the extent that the vendor was required to account for output tax on the invoice basis** (that is in the case of supplies made for a consideration of R100,000 or more) **and a portion thereof has become irrecoverable**.

In other words, vendors on the payments basis are generally prohibited from deducting input tax on irrecoverable debts, with the sole exception being for supplies of R100,000 or more where they were required to account for output tax on the invoice basis.","[""doc_5_chunk_140"", ""doc_5_chunk_141"", ""doc_5_chunk_118"", ""doc_5_chunk_75"", ""doc_5_chunk_216""]",5,False,0.0,,,,
What are deemed supplies in the context of VAT?,"Deemed supplies are transactions where a registered vendor may be required to declare an amount of output tax even though they have not actually supplied any goods or services. The VAT Act contains deeming provisions which widen the range of transactions subject to VAT and clarify instances where certain transactions will be deemed to be taxable or not, or deemed not to be supplied in the course or furtherance of an enterprise.",vat_404_guide_chunk_157,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 50,000 input tokens per minute (org: 9bd0a5f7-22cf-410d-b889-d0a0c1c1e0d9, model: claude-haiku-4-5-20251001). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CbHwNcQuJcLgLEWsfr3Qb'}",,,0,,,,,,
